"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2019 Dollars, 2004-05 to 2019-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2019 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change
Alabama,"$3,695","$3,585","$3,513","$3,460","$3,307","$3,382","$4,021","$4,554","$4,578","$4,559","$4,584","$4,638","$4,686","$4,696","$4,847","$4,871",0%,6%,,"$6,109","$6,279","$6,185","$6,459","$6,961","$7,729","$8,677","$9,086","$9,781","$10,062","$10,209","$10,477","$10,750","$11,163","$10,972","$10,918",0%,7%
Alaska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$4,653","$4,980","$5,288","$5,450","$5,457","$5,864","$6,192","$6,195","$6,479","$6,464","$6,610","$7,207","$7,599","$7,798","$7,962","$8,233",3%,25%
Arizona,"$1,887","$1,998","$2,093","$2,077","$2,124","$2,285","$2,329","$2,443","$2,468","$2,563","$2,617","$2,660","$2,728","$2,725","$2,629","$2,606",-1%,0%,,"$5,524","$5,822","$5,893","$6,108","$6,513","$7,808","$9,503","$10,715","$10,894","$11,069","$11,196","$11,432","$11,654","$11,750","$11,754","$11,921",1%,6%
Arkansas,"$2,539","$2,600","$2,641","$2,633","$2,678","$2,833","$2,972","$3,024","$3,129","$3,302","$3,421","$3,658","$3,766","$3,784","$3,737","$3,761",1%,10%,,"$6,206","$6,539","$6,700","$6,897","$6,898","$7,125","$7,419","$7,557","$7,834","$7,965","$8,177","$8,474","$8,800","$8,962","$8,859","$9,033",2%,10%
California,"$1,095","$1,064",$913,$780,$740,$973,$964,"$1,271","$1,589","$1,565","$1,538","$1,529","$1,520","$1,488","$1,454","$1,428",-2%,-7%,,"$5,683","$5,943","$5,735","$6,098","$6,341","$7,804","$8,809","$10,145","$10,063","$9,970","$9,877","$9,963","$9,918","$10,272","$10,054","$9,966",-1%,1%
Colorado,"$3,005","$3,136","$2,996","$3,029","$2,974","$3,298","$3,674","$3,854","$4,006","$4,113","$4,200","$4,383","$4,548","$4,528","$4,591","$4,525",-1%,8%,,"$5,057","$5,813","$6,016","$6,695","$6,756","$7,470","$8,330","$8,940","$9,453","$9,991","$9,997","$10,480","$10,967","$11,330","$11,360","$11,380",0%,14%
Connecticut,"$3,259","$3,330","$3,369","$3,483","$3,481","$3,813","$4,011","$3,963","$4,029","$4,158","$4,163","$4,352","$4,465","$4,518","$4,484","$4,505",0%,8%,,"$8,583","$8,868","$8,996","$9,329","$9,376","$10,075","$10,565","$10,467","$10,790","$11,238","$11,465","$12,013","$12,560","$12,766","$12,974","$13,664",5%,19%
Delaware,"$3,398","$3,518","$3,603","$3,690","$3,796","$4,072","$4,206","$4,335","$4,313","$4,448","$4,624","$4,745","$4,832","$4,947","$4,943","$4,925",0%,7%,,"$8,980","$9,257","$9,334","$9,617","$9,671","$10,737","$11,325","$11,854","$12,216","$12,366","$12,379","$12,552","$12,719","$12,766","$12,957","$13,292",3%,7%
